Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
2-perfused,3,48.387,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,25,8,187,6,25
2-static,3,69.841,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,0,8,187,6,25
3-PLLA Scaffold,3,2.569,1,50,-1,-1,1,,-1,-1,4.1,64.8,0.05,,,0.5,8,,,,0,3.2,,0.05,80
3-3-dECM Scaffold,3,2.844,1,50,-1,-1,2,-1,-1,-1,-1,-1,-1,,,0.5,8,,,,0,6,1,235,1.2
5-PET,3,0.298,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET-AAc,3,0.306,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-Gal,3,0.399,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gel,3,0.397,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
6-MePS,3,5.655,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
10-Hep,3,46.151,1,0.2,-1,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-Fib,3,61.136,1.13,0.2,0.3,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-EC,3,57.24,1.7,0.2,0.15,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-Fib-EC,3,76.42,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
11-PELA,3,30.104,8,4,-1,-1,10,,-1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F1/9,3,36.993,8,4,-1,-1,10.11,1,9,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F3/7,3,44.781,8,4,-1,-1,10.11,3,7,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F5/5,3,51.671,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F7/3,3,49.574,8,4,-1,-1,10.11,7,3,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,3,47.028,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,3,0.034,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,3,0.048,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,3,0.054,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,3,0.054,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,3,0.056,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,3,0.053,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
14-Hep,3,28.571,10,0.2,-1,-1,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
14-Hep-Fib,3,55.628,10.13,0.2,0.3,-1,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
14-Hep-Fib,3,68.831,10.1307,0.2,0.3,0.15,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
16-static,3,2,8.23,3,10,-1,19,,,,-1,-1,-1,,140,0.42,6,,,,0,,,,
16-fluidic,3,4.356,8.23,3,10,-1,19,,,,-1,-1,-1,,140,0.42,6,,,,650,,,,
18-Agarose,3,29.661,4,1,-1,-1,16,0.99,-1,-1,-1,-1,-1,,,,,,,,0,11,121,20,
18-Alginate,3,56.356,4,1,-1,-1,7,0.57,-1,-1,-1,-1,-1,,,,,,,,0,12,60,,
18-HA-PEG,3,16.808,4,1,-1,-1,34.15,1.587,-1,-1,12,-1,-1,,,,,,,,0,9,1.2,,
20-Hep,3,15.039,10,30,-1,-1,17.5,0.7,0.023,-1,13,20,-1,,,,0.08,,,,0,9,1,0.72,
20-Hep+3T3,3,12.821,10.17,30,10,-1,17.5,0.7,0.023,-1,13,20,-1,,,,0.08,,,,0,9,1,0.72,
20-Hep(High O2),3,16.519,10,30,-1,-1,17.5,0.7,0.023,-1,13,35,-1,,,,0.08,,,,0,9,1,0.72,
20-Hep+3T3(High O2),3,21.45,10.17,30,10,-1,17.5,0.7,0.023,-1,13,35,-1,,,,0.08,,,,0,9,1,0.72,
21-H+E,3,422.951,10,0.75,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,0,6.14,2,7.5,37
21-H+M+E,3,509.508,10.15,0.75,0.15,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,0,6.14,2,7.5,37
22-3D,3,29.364,10,0.5,-1,-1,5,0.165,-1,-1,-1,-1,-1,,,,,,,,0,14,7.4,37,
23-T-SDS,3,41.408,10,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,20000,6,2,27.5,1.3
23-S-SDS,3,35.07,10,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,20000,6,2,27.5,4.3
23-SDS,3,21.127,10,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,20000,6,2,27.5,3
1-PLGA,3,,8,10,-1,-1,12,8,-1,-1,-1,-1,-1,,27.5,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Chigh,3,,8,10,-1,-1,12,8,-1,-1,1,0.008,-1,,26.7,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Clow,3,,8,10,-1,-1,12,8,-1,-1,1,0.004,-1,,29.1,3,6,94,,,0,1,0.5,20,13.4
1-PLGA-Fhigh,3,,8,10,-1,-1,12,8,-1,-1,2,0.004,-1,,30,3,6,95.6,,,0,1,0.5,20,13.4
1-PLGA-Flow,3,,8,10,-1,-1,12,8,-1,-1,2,0.002,-1,,28.4,3,6,96,,,0,1,0.5,20,13.4
4-static,3,,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-dynamic,3,,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
7-CF00,3,,8.14,2.5,0.25,-1,12,8,-1,-1,-1,-1,-1,,,5,6,,,,0,1,0.5,18,25
7-CF10,3,,8.14,2.5,0.25,-1,12,8,-1,-1,1,0.008,-1,,,5,6,,,,0,1,0.5,18,25
7-CF01,3,,8.14,2.5,0.25,-1,12,8,-1,-1,2,0.004,-1,,,5,6,,,,0,1,0.5,18,25
7-CF31,3,,8.14,2.5,0.25,-1,12,8,-1,-1,1.2,0.006,0.002,,,5,6,,,,0,1,0.5,18,25
8-PVA,3,,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
9-hexagonal,3,,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.3,,51.3,0,3,,,
9-squared,3,,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.6,,77.2,0,3,,,
12-2D+DLS,3,,9,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,3,8,,,,0,6,2,11.25,1.3
12-3D+DLS,3,,9,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,3.1,8,,,,0,6,2,11.25,1.3
13-Monoculture,3,,10,0.8,-1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Coculture,3,,10.11,0.8,0.1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
15-GEVAC,3,,15,0.052,-1,-1,9.33,0.715,0.285,-1,-1,-1,-1,,90.2,2,10,75.7,,,0,2,,80,48
15-CH1,3,,15,0.052,-1,-1,14.34,1.9,3.96,-1,-1,-1,-1,,187,2,10,,,,0,2,,80,48
15-DG1,3,,15,0.052,-1,-1,9.35,,,-1,-1,-1,-1,,150,2,10,,,,0,2,,80,48
c13-PELA,3,,10,50,-1,-1,10.11,4,4,-1,-1,-1,-1,,5.9,0.1,0.436,,,,0,1,1,20,
17-HepG2,3,,4,2,-1,-1,15.709,0.88,1.5,2.2,-1,-1,-1,,,2,8,91.85,94,,7000,13,12,16,
17-HepG2-PNIPAAm,3,,4,2,-1,-1,15.709,0.88,1.5,2.2,31,0.05,-1,,,2,8,91.85,94,,7000,13,12,16,
17-Huh7,3,,16,2,-1,-1,15.709,0.88,1.5,2.2,-1,-1,-1,,,2,8,91.85,94,,7000,13,12,16,
17-Huh7-PNIPAAm,3,,16,2,-1,-1,15.709,0.88,1.5,2.2,31,0.05,-1,,,2,8,91.85,94,,7000,13,12,16,
19-Alg,3,,10,8,-1,-1,7,1,-1,-1,-1,-1,-1,,70,,0.1,,,,0,10,1,187.5,
19-Alg-col,3,,10,8,-1,-1,7.5,0.8,0.02,-1,-1,-1,-1,,70,,0.1,,,,0,10,1,187.5,
20-Fiber(+O2),3,,10,30,-1,-1,17.5,0.7,0.023,-1,13,35,-1,,,,0.08,,,,0,9,1,0.72,
"20-Fiber(+3T3,O2)",3,,10.17,30,10,-1,17.5,0.7,0.023,-1,13,35,-1,,,,0.08,,,,0,9,1,0.72,
25-iMPH,3,,1,0.8,-1,-1,21,,-1,-1,-1,-1,-1,,,,,,,,0,,,,
25-iMPCC,3,,1.21,0.8,0.4,-1,21,,-1,-1,-1,-1,-1,,,,,,,,0,,,,
